filename,OBJNAM,client,SURATH,sursso,ch_typ,glocat,plocat,kmstar,km_end,prjtyp,SURSTA,SUREND,SORIND,INFORM,PICREP,TECSOU,HORDAT,VERDAT,HUNITS,DUNITS,SURTYP,POSACC,SOUACC,CATZOC,lwschm,geodif,planam,sur_id,pubweb,objst8,objdel
11013SA0910A.csar,11013SA0910A,CCG - Pacific,PWGSC - Geomatic Services,11013,0,0,64,9,10,Recon,,20110712,,,,8,75,13,1,1,2,,,1,2,2.20m below GD,MV Profiler II,SA0910
11013SA0507A.csar,11013SA0507A,CCG - Pacific,PWGSC - Geomatic Services,11013,0,0,63,5,7,Recon,,20110711,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0507
11013SA0709A.csar,11013SA0709A,CCG - Pacific,PWGSC - Geomatic Services,11013,0,0,64,7,9,Recon,,20110711,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0709
11017MA4040A.csar,11017MA4040A,CCG - Pacific,PWGSC - Geomatic Services,11017,0,2,52,40,40,Recon,,20110708,,,,8,75,13,1,1,2,,,1,2,1.15m below GD,MV Profiler II,SA4040
11012SA0710A.csar,11012SA0710A,CCG - Pacific,PWGSC - Geomatic Services,11012,0,0,64,7,10,Recon,,20110707,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0710
11012SA0104A.csar,11012SA0104A,CCG - Pacific,PWGSC - Geomatic Services,11012,0,0,57,1,4,Recon,,20110706,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
11012SA_101A.csar,11012SA_101A,CCG - Pacific,PWGSC - Geomatic Services,11012,0,0,56,-1,1,Recon,,20110705,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA_101
11012SA3134A.csar,11012SA3134A,CCG - Pacific,PWGSC - Geomatic Services,11012,0,0,1,31.3,34,Recon,,20110704,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA3134
11011SA0710A.csar,11011SA0710A,CCG - Pacific,PWGSC - Geomatic Services,11011,0,0,64,7,10,Recon,,20110629,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0710
11011SA0104A.csar,11011SA0104A,CCG - Pacific,PWGSC - Geomatic Services,11011,0,0,57,1,4,Recon,,20110628,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
